tc_po_line_id;N_SolicitudCliente;N_OrdenDistribu;Fecha_Creacion_Orden;FechaCompromiso;EstOrden;EstLineaOrden;Estado_OD;SKU;DescSKU;CantSKU;DESPACHO;Tipo_Orden;Mes;Año;Descripcion TipoVenta;Tipo Venta;N_OrdenDistribu;Horario;Horario2;Fecha Creacion
1;105601007;122327680;27-11-2017 16:46;01/12/17;Fac Allocated;Fac Allocated;Shipped;871800999;FPRICE CGR49 RYA HERMANITA APR;1;200;Pickup;12;2017;Stock CD;2;2;2;04;2017-12-01 13:00:00
2;106494286;null;23-11-2017 18:55;01/12/17;Partially Shipped;Allocation Failed;null;836601999;SOPORTE 26-55 HDMI BLB;0;null;Paris.cl;12;2017;Stock CD;2;1;2;06;2017-12-01 08:00:00
1;106535112;122306232;26-11-2017 09:27;01/12/17;Released;Released;Released;104415999;JUEGO COMEDOR LYON 6 SILLAS;1;012;Paris.cl;12;2017;Stock CD;2;2;2;09;2017-12-01 08:00:00
1;106683556;122285134;24-11-2017 20:25;04/12/17;Fac Allocated;Fac Allocated;Shipped;511736999;SET 4 COPAS SALUTE VINO TINTO;1;200;Pickup;12;2017;Stock CD;2;2;2;08;2017-12-04 08:00:00
1;106719159;122346681;14-11-2017 00:04;04/12/17;Partially Shipped;Fac Allocated;Shipped;123546999;DUENDES MAGICOS ORO;1;200;Pickup;12;2017;Stock CD;2;2;2;12;2017-12-04 15:42:00
1;106763896;122315359;27-11-2017 10:15;04/12/17;Partially Fac Allocated;Fac Allocated;Shipped;198115084;603POGRV18-901 PO/AZMA2/L;1;200;Pickup;12;2017;Stock CD;2;2;2;10;2017-12-04 19:03:00
10;106763896;122315359;27-11-2017 10:15;04/12/17;Partially Fac Allocated;Fac Allocated;Shipped;172530015;601PAOPV18-620 PA/VEME4/T 40;1;200;Pickup;12;2017;Stock CD;2;2;2;10;2017-12-04 19:03:00
11;106763896;122315359;27-11-2017 10:15;04/12/17;Partially Fac Allocated;Fac Allocated;Shipped;115336012;603PAMAV18-041 PA/NEGRO/T 40;1;200;Pickup;12;2017;Stock CD;2;2;2;10;2017-12-04 19:03:00
12;106763896;122315359;27-11-2017 10:15;04/12/17;Partially Fac Allocated;Fac Allocated;Shipped;609300009;VESTI WADOS XTD125/AZUL/XL;1;200;Pickup;12;2017;Stock CD;2;2;2;10;2017-12-04 19:03:00
13;106763896;122315359;27-11-2017 10:15;04/12/17;Partially Fac Allocated;Fac Allocated;Shipped;345013009;VCLD2758 VESTIDOS/AZAB1/XL;1;200;Pickup;12;2017;Stock CD;2;2;2;10;2017-12-04 19:03:00
14;106763896;122315359;27-11-2017 10:15;04/12/17;Partially Fac Allocated;Fac Allocated;Shipped;196501002;601PLOPV18-2002/GRIS/S;1;200;Pickup;12;2017;Stock CD;2;2;2;10;2017-12-04 19:03:00
16;106763896;122315359;27-11-2017 10:15;04/12/17;Partially Fac Allocated;Fac Allocated;Shipped;115286024;603POGRV18-003 PO/ROOS2/M;1;200;Pickup;12;2017;Stock CD;2;2;2;10;2017-12-04 19:03:00
17;106763896;122315359;27-11-2017 10:15;04/12/17;Partially Fac Allocated;Fac Allocated;Shipped;117101006;605POVIV18-003POL/CAAB1/L;1;200;Pickup;12;2017;Stock CD;2;2;2;10;2017-12-04 19:03:00
